PhoneLink,Model Name,Price,DcPrice,Color,QuickCharge,Size,Processor,Storage,RAM,Camera,FrontCam,Network,Battery,NewSize,ProcessorNew,Brand,BackCamera,FrontCamera,Net,Power
https://www.flipkart.com/realme-gt-neo-3-asphalt-black-256-gb/p/itmeaf638d4d125d?pid=MOBGDCFZQQTNPAH4&lid=LSTMOBGDCFZQQTNPAH4NGN46T&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&iid=1e20d73c-3d46-4a1b-a833-8ee5b49697da.MOBGDCFZQQTNPAH4.SEARCH&ssid=ivytirjdm80000001697362311797&qH=eb4af0bf07c16429,"realme GT Neo 3 (Asphalt Black, 256 GB)  (8 GB RAM)",41999,38999,Asphalt Black,0,17.02 cm (6.7 inch),MediaTek Dimensity 8100,256,8,50MP + 8MP + 2MP,16MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",5000 mAh,6.7,MediaTek,REALME,50,16,1,5000
https://www.flipkart.com/realme-gt-neo-3-150w-sprint-white-256-gb/p/itm1755793254dc8?pid=MOBGDMYJW6VCVQNU&lid=LSTMOBGDMYJW6VCVQNUJP0WUW&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&iid=1e20d73c-3d46-4a1b-a833-8ee5b49697da.MOBGDMYJW6VCVQNU.SEARCH&ssid=ivytirjdm80000001697362311797&qH=eb4af0bf07c16429,"realme GT NEO 3 (150W) (Sprint White, 256 GB)  (12 GB RAM)",45999,31999,Sprint White,0,17.02 cm (6.7 inch),MediaTek Dimensity 8100,256,12,50MP + 8MP + 2MP,16MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",4500 mAh,6.7,MediaTek,REALME,50,16,1,4500
https://www.flipkart.com/realme-gt-neo-3-150w-asphalt-black-256-gb/p/itm1755793254dc8?pid=MOBGDMYJSWGAUEPA&lid=LSTMOBGDMYJSWGAUEPAGUFRF1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&iid=1e20d73c-3d46-4a1b-a833-8ee5b49697da.MOBGDMYJSWGAUEPA.SEARCH&ssid=ivytirjdm80000001697362311797&qH=eb4af0bf07c16429,"realme GT NEO 3 (150W) (Asphalt Black, 256 GB)  (12 GB RAM)",45999,31999,Asphalt Black,0,17.02 cm (6.7 inch),MediaTek Dimensity 8100,256,12,50MP + 8MP + 2MP,16MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",4500 mAh,6.7,MediaTek,REALME,50,16,1,4500
https://www.flipkart.com/realme-gt-2-pro-paper-white-256-gb/p/itm125e5a8c1de92?pid=MOBGCRYZQWG5YWBS&lid=LSTMOBGCRYZQWG5YWBSTI7D0S&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&iid=1e20d73c-3d46-4a1b-a833-8ee5b49697da.MOBGCRYZQWG5YWBS.SEARCH&ssid=ivytirjdm80000001697362311797&qH=eb4af0bf07c16429,"realme GT 2 Pro (Paper White, 256 GB)  (12 GB RAM)",66999,35999,Paper White,0,17.02 cm (6.7 inch),Snapdragon Snapdragon 8 Gen 1 Mobile Platform,256,12,50MP + 50MP + 2MP,32MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",5000 mAh,6.7,Snapdragon,REALME,50,32,1,5000
https://www.flipkart.com/realme-gt-neo-3-nitro-blue-256-gb/p/itmeaf638d4d125d?pid=MOBGDCFZEGZUTHQZ&lid=LSTMOBGDCFZEGZUTHQZ1S43TS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&iid=1e20d73c-3d46-4a1b-a833-8ee5b49697da.MOBGDCFZEGZUTHQZ.SEARCH&ssid=ivytirjdm80000001697362311797&qH=eb4af0bf07c16429,"realme GT Neo 3 (Nitro Blue, 256 GB)  (8 GB RAM)",41999,38999,Nitro Blue,0,17.02 cm (6.7 inch),MediaTek Dimensity 8100,256,8,50MP + 8MP + 2MP,16MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",5000 mAh,6.7,MediaTek,REALME,50,16,1,5000
https://www.flipkart.com/realme-gt-neo-3-sprint-white-256-gb/p/itmeaf638d4d125d?pid=MOBGDCFZ6ZTFHYWE&lid=LSTMOBGDCFZ6ZTFHYWEWZSFDN&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&iid=1e20d73c-3d46-4a1b-a833-8ee5b49697da.MOBGDCFZ6ZTFHYWE.SEARCH&ssid=ivytirjdm80000001697362311797&qH=eb4af0bf07c16429,"realme GT Neo 3 (Sprint White, 256 GB)  (8 GB RAM)",41999,38999,Sprint White,0,17.02 cm (6.7 inch),MediaTek Dimensity 8100,256,8,50MP + 8MP + 2MP,16MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",5000 mAh,6.7,MediaTek,REALME,50,16,1,5000
https://www.flipkart.com/realme-10-pro-5g-nebula-blue-256-gb/p/itmd32a2fec1fb60?pid=MOBGK8WZGUYGQJ3E&lid=LSTMOBGK8WZGUYGQJ3EK9TN3Q&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&iid=1e20d73c-3d46-4a1b-a833-8ee5b49697da.MOBGK8WZGUYGQJ3E.SEARCH&ssid=ivytirjdm80000001697362311797&qH=eb4af0bf07c16429,"realme 10 Pro+ 5G (Nebula Blue, 256 GB)  (8 GB RAM)",28999,24999,Nebula Blue,0,17.02 cm (6.7 inch),MediaTek Dimensity 1080 5G,256,8,108MP + 8MP + 2MP,16MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",5000 mAh,6.7,MediaTek,REALME,108,16,1,5000
https://www.flipkart.com/realme-gt-2-pro-steel-black-256-gb/p/itm125e5a8c1de92?pid=MOBGCRYZ8JWVBCJD&lid=LSTMOBGCRYZ8JWVBCJDXWMYZ2&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&iid=1e20d73c-3d46-4a1b-a833-8ee5b49697da.MOBGCRYZ8JWVBCJD.SEARCH&ssid=ivytirjdm80000001697362311797&qH=eb4af0bf07c16429,"realme GT 2 Pro (Steel Black, 256 GB)  (12 GB RAM)",66999,35999,Steel Black,0,17.02 cm (6.7 inch),Snapdragon Snapdragon 8 Gen 1 Mobile Platform,256,12,50MP + 50MP + 2MP,32MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",5000 mAh,6.7,Snapdragon,REALME,50,32,1,5000
https://www.flipkart.com/realme-11-pro-5g-astral-black-256-gb/p/itm5647cce338e55?pid=MOBGPU8HRUUHYEWE&lid=LSTMOBGPU8HRUUHYEWESOLZ9G&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&iid=1e20d73c-3d46-4a1b-a833-8ee5b49697da.MOBGPU8HRUUHYEWE.SEARCH&ssid=ivytirjdm80000001697362311797&qH=eb4af0bf07c16429,"realme 11 Pro+ 5G (Astral Black, 256 GB)  (8 GB RAM)",29999,25999,Astral Black,1,17.02 cm (6.7 inch),Dimensity 7050,256,8,200MP (OIS) + 8MP + 2MP,32MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",5000 mAh,6.7,Dimensity,REALME,200,32,1,5000
https://www.flipkart.com/realme-11-pro-5g-sunrise-beige-256-gb/p/itm5647cce338e55?pid=MOBGPU8HQQYQN8XT&lid=LSTMOBGPU8HQQYQN8XTJSUCKP&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&iid=1e20d73c-3d46-4a1b-a833-8ee5b49697da.MOBGPU8HQQYQN8XT.SEARCH&ssid=ivytirjdm80000001697362311797&qH=eb4af0bf07c16429,"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)  (8 GB RAM)",29999,25999,Sunrise Beige,1,17.02 cm (6.7 inch),Dimensity 7050,256,8,200MP (OIS) + 8MP + 2MP,32MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",5000 mAh,6.7,Dimensity,REALME,200,32,1,5000
